age,education,workclass,occupation,salary-class,age_cluster,relative_distance,age_predicted
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.8,1.0,0.0,1,-0.08268312292501412,34.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,48.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,0.0,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.0,0.8,0.0,0.0,1,-0.08268312292501412,34.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.8,0.0,0.0,2,0.0028699946857163594,48.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
17.0,0.0,0.8,0.0,0.0,0,0.6940923382425948,25.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,49.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,46.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,49.0
53.0,0.0,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,21.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,51.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
85.0,0.2,0.0,0.0,0.0,3,-0.5388110072689511,69.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
33.0,0.2,0.8,1.0,0.0,1,-0.08268312292501412,34.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,48.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,21.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
17.0,0.0,0.8,0.0,0.0,0,0.6940923382425948,25.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,43.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,46.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,46.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.8,0.5,0.0,0,0.6940923382425948,25.0
33.0,0.2,0.8,1.0,1.1,1,-0.38993582642565605,29.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,49.0
85.0,0.2,0.0,0.0,0.0,3,-0.5388110072689511,69.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
85.0,0.2,0.0,1.0,1.1,3,-0.6886898580823815,67.0
33.0,0.0,0.8,1.0,0.0,1,-0.08268312292501412,34.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,42.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,30.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
85.0,0.0,0.0,0.0,0.0,3,-0.5388110072689511,69.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.2,0.8,1.0,1.1,1,-0.38993582642565605,29.0
85.0,0.0,0.0,1.0,0.0,3,-0.46118899273104885,73.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,30.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,48.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,28.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,21.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,47.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.0,0.8,0.5,0.0,1,-0.08268312292501412,34.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.8,1.0,0.0,1,-0.08268312292501412,34.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,0.5,1.1,1,-0.38993582642565605,28.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,28.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,42.0
53.0,0.0,0.8,0.0,0.0,2,0.0028699946857163594,48.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,0.0,1.1,1,-0.38993582642565605,29.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.8,0.0,0.0,1,-0.08268312292501412,34.0
85.0,0.0,0.0,1.0,0.0,3,-0.46118899273104885,73.0
33.0,0.2,0.8,1.0,1.1,1,-0.38993582642565605,29.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.2,0.8,0.5,0.0,1,-0.08268312292501412,34.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,60.0
53.0,0.0,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,47.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
53.0,0.0,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
53.0,0.2,0.8,0.5,0.0,2,0.0028699946857163594,47.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,29.0
53.0,0.0,0.0,0.5,1.1,2,0.011482743457228217,50.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.0,0.8,0.0,0.0,1,-0.08268312292501412,34.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,29.0
33.0,0.0,0.0,1.0,1.1,1,-0.38993582642565605,29.0
17.0,0.2,0.8,0.5,0.0,0,0.6940923382425948,25.0
17.0,0.0,0.8,0.0,0.0,0,0.6940923382425948,25.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,47.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.8,0.0,0.0,2,0.0028699946857163594,47.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,22.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,22.0
17.0,0.2,0.8,1.0,0.0,0,0.6940923382425948,25.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,28.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,28.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.8,1.0,0.0,1,-0.08268312292501412,34.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
17.0,0.0,0.8,1.0,0.0,0,0.6940923382425948,25.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,28.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.8,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,42.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,39.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,47.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.8,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,47.0
33.0,0.2,0.8,0.5,1.1,1,-0.38993582642565605,28.0
17.0,0.2,0.0,1.0,0.0,0,0.45821611782227367,22.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.8,1.0,0.0,1,-0.08268312292501412,34.0
53.0,0.0,0.8,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.8,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.8,0.0,0.0,1,-0.08268312292501412,34.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,34.0
33.0,0.2,0.8,0.0,0.0,1,-0.08268312292501412,34.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,34.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,34.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,28.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
17.0,0.2,0.8,1.0,0.0,0,0.6940923382425948,25.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,34.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,59.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,28.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,28.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,42.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,42.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,22.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,1.0,0.0,0,0.45821611782227367,21.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.5,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
85.0,0.0,0.0,0.0,0.0,3,-0.5388110072689511,69.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,34.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.0,0.0,1.0,1.1,1,-0.38993582642565605,28.0
33.0,0.2,0.0,1.0,1.1,1,-0.38993582642565605,28.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.2,0.0,0.5,0.0,2,-0.011482743457228106,45.0
17.0,0.2,0.0,0.0,0.0,0,0.5417838821777263,24.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,59.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,43.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.0,0.0,0.0,0.0,1,0.13667357571975491,35.0
33.0,0.0,0.0,0.5,0.0,1,0.31090385327603587,38.0
53.0,0.0,0.0,0.0,1.1,2,0.011482743457228217,50.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,0.0,0.0,2,-0.1292686938423679,43.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.2,0.0,0.0,1.1,2,0.011482743457228217,50.0
33.0,0.2,0.0,0.5,0.0,1,0.31171643055920134,40.0
85.0,0.0,0.0,0.5,0.0,3,-0.4113101419176186,74.0
53.0,0.0,0.0,1.0,0.0,2,0.12926869384236794,59.0
17.0,0.0,0.0,0.0,0.0,0,0.5417838821777263,24.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
17.0,0.2,0.0,0.5,0.0,0,0.26275856362733746,19.0
53.0,0.0,0.0,0.0,0.0,2,-0.1292686938423679,43.0
17.0,0.0,0.0,0.5,0.0,0,0.26275856362733746,19.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,50.0
53.0,0.2,0.8,1.0,0.0,2,0.0028699946857163594,47.0
53.0,0.0,0.0,1.0,1.1,2,0.011482743457228217,51.0
53.0,0.2,0.0,1.0,0.0,2,0.12926869384236794,60.0
33.0,0.0,0.8,0.0,0.0,1,-0.08268312292501412,34.0
33.0,0.2,0.0,0.5,1.1,1,-0.38993582642565605,28.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
33.0,0.0,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.0,1.0,1.1,2,0.011482743457228217,51.0
33.0,0.2,0.0,0.0,0.0,1,0.13667357571975491,35.0
53.0,0.0,0.0,0.5,0.0,2,-0.011482743457228106,45.0
33.0,0.2,0.0,1.0,0.0,1,-0.13667357571975491,31.0
53.0,0.2,0.8,1.0,1.1,2,0.011482743457228217,51.0
